candidate_id,age,gender,education,previous_job_roles,experience (years),languages,skills
42097,24,Male,High School,Content Writer,6,"['Kannada', 'Konkani', 'Hindi']","{'Content Writing': 6, 'Copywriting': 10, 'SEO': 4, 'Blogging': 8}"
754820,59,Male,Bachelor's Degree,Translator,6,['Sanskrit'],"{'Translation': 10, 'Language Proficiency': 0, 'Interpreting': 7, 'Cultural Sensitivity': 8}"
301293,36,Male,High School,IT Support Specialist,6,"['English', 'Marathi', 'Kannada']","{'Technical Support': 3, 'Troubleshooting': 2, 'Network Administration': 10, 'Hardware Repair': 2}"
229143,31,Female,Master's Degree,Plumber,10,['English'],"{'Plumbing': 1, 'Pipefitting': 9, 'Drain Cleaning': 2, 'Plumbing Tools': 8}"
835840,30,Female,High School,Pharmacist,2,['English'],"{'Pharmacology': 1, 'Pharmacy Practice': 8, 'Medication Therapy Management': 6, 'Pharmaceutical Chemistry': 9}"
174841,34,Male,PhD,Interior Designer,9,"['Kannada', 'Sanskrit']","{'Interior Design': 6, 'Space Planning': 1, 'Furniture Design': 6, 'Color Theory': 8}"
32025,64,Female,Master's Degree,IT Support Specialist,3,['English'],"{'Technical Support': 10, 'Troubleshooting': 5, 'Network Administration': 10, 'Hardware Repair': 5}"
117849,30,Male,High School,Truck Driver,9,"['English', 'Hindi', 'Marathi']","{'Commercial Driving': 1, 'Route Planning': 10, 'Vehicle Maintenance': 2, 'Logistics': 8}"
426839,45,Other,High School,Electrical Engineer,10,"['English', 'Sanskrit']","{'Electrical Engineering': 6, 'Circuit Design': 1, 'PLC Programming': 0, 'Power Systems': 3}"
8013,55,Male,High School,Quality Assurance Analyst,3,"['Sanskrit', 'Hindi', 'Konkani']","{'Quality Assurance': 4, 'Software Testing': 2, 'Test Automation': 9, 'Bug Tracking': 7}"
753891,26,Female,Bachelor's Degree,Event Planner,2,['Kannada'],"{'Event Planning': 6, 'Vendor Management': 9, 'Budgeting': 5, 'Event Coordination': 3}"
509579,58,Female,Bachelor's Degree,Financial Analyst,1,['Hindi'],"{'Financial Analysis': 7, 'Accounting': 1, 'Excel': 3, 'Financial Modeling': 3}"
668632,54,Male,PhD,Network Engineer,10,['Sanskrit'],"{'Network Engineering': 7, 'Routing and Switching': 8, 'Firewall Configuration': 3, 'Network Security': 2}"
828971,23,Female,PhD,Medical Assistant,7,"['Konkani', 'Sanskrit']","{'Medical Assisting': 0, 'Medical Office Procedures': 8, 'Vital Signs Measurement': 6, 'Electronic Health Records': 5}"
13977,51,Other,High School,Customer Service Representative,9,"['Kannada', 'Marathi']","{'Customer Support': 7, 'Communication Skills': 5, 'Problem Solving': 10, 'CRM Software': 0}"
993088,25,Other,High School,Graphic Designer,1,"['Kannada', 'Hindi', 'Konkani']","{'Adobe Photoshop': 1, 'Adobe Illustrator': 9, 'Graphic Design': 2, 'Typography': 7}"
341964,24,Male,PhD,Truck Driver,9,"['English', 'Hindi', 'Sanskrit']","{'Commercial Driving': 6, 'Route Planning': 5, 'Vehicle Maintenance': 2, 'Logistics': 6}"
384972,25,Female,Bachelor's Degree,Phlebotomist,9,['English'],"{'Phlebotomy': 5, 'Venipuncture': 7, 'Specimen Collection': 10, 'Medical Terminology': 7}"
401043,58,Male,PhD,Plumber,5,"['Marathi', 'Hindi', 'English']","{'Plumbing': 3, 'Pipefitting': 3, 'Drain Cleaning': 9, 'Plumbing Tools': 1}"
988572,49,Female,Master's Degree,Event Planner,0,['Sanskrit'],"{'Event Planning': 5, 'Vendor Management': 2, 'Budgeting': 7, 'Event Coordination': 9}"
407716,58,Other,PhD,Customer Service Representative,5,"['Kannada', 'Marathi']","{'Customer Support': 3, 'Communication Skills': 0, 'Problem Solving': 3, 'CRM Software': 8}"
352914,30,Female,High School,Customer Service Representative,4,['Hindi'],"{'Customer Support': 8, 'Communication Skills': 7, 'Problem Solving': 9, 'CRM Software': 9}"
172078,26,Female,Master's Degree,Data Entry Clerk,10,['Hindi'],"{'Data Entry': 6, 'Typing': 8, 'Data Management': 4, 'Microsoft Excel': 0}"
307643,41,Female,Bachelor's Degree,Fitness Trainer,8,['English'],"{'Personal Training': 7, 'Fitness Programming': 1, 'Nutrition Counseling': 9, 'Strength Training': 4}"
668889,55,Male,High School,Event Planner,1,['Konkani'],"{'Event Planning': 5, 'Vendor Management': 6, 'Budgeting': 6, 'Event Coordination': 9}"
73027,64,Male,Master's Degree,Phlebotomist,5,"['Konkani', 'Hindi']","{'Phlebotomy': 2, 'Venipuncture': 8, 'Specimen Collection': 7, 'Medical Terminology': 6}"
291904,44,Other,High School,Electrical Engineer,5,"['Hindi', 'Konkani']","{'Electrical Engineering': 4, 'Circuit Design': 10, 'PLC Programming': 1, 'Power Systems': 2}"
468169,32,Other,Bachelor's Degree,Plumber,5,"['Kannada', 'Hindi', 'Konkani']","{'Plumbing': 7, 'Pipefitting': 3, 'Drain Cleaning': 8, 'Plumbing Tools': 10}"
99717,56,Other,Master's Degree,Data Entry Clerk,9,"['Marathi', 'Sanskrit']","{'Data Entry': 7, 'Typing': 1, 'Data Management': 4, 'Microsoft Excel': 5}"
483624,58,Male,PhD,Electrician,2,"['Sanskrit', 'English', 'Kannada']","{'Electrical Wiring': 9, 'Electrical Maintenance': 10, 'Circuit Troubleshooting': 1, 'Safety Procedures': 2}"
95776,59,Other,Master's Degree,Legal Assistant,0,"['Marathi', 'Hindi', 'English']","{'Legal Research': 8, 'Document Drafting': 7, 'Case Management': 10, 'Legal Writing': 1}"
296800,62,Male,Bachelor's Degree,Accountant,10,['Hindi'],"{'Financial Accounting': 7, 'Taxation': 0, 'Auditing': 1, 'Accounting Software': 1}"
801520,49,Male,Master's Degree,Pharmacist,0,['Konkani'],"{'Pharmacology': 7, 'Pharmacy Practice': 9, 'Medication Therapy Management': 8, 'Pharmaceutical Chemistry': 9}"
488725,23,Other,PhD,Chef,8,"['Konkani', 'Marathi']","{'Culinary Arts': 8, 'Food Safety': 8, 'Menu Planning': 7, 'Cuisine Techniques': 8}"
846020,61,Male,Master's Degree,Veterinarian,5,['Hindi'],"{'Veterinary Medicine': 9, 'Animal Surgery': 8, 'Diagnostic Imaging': 3, 'Preventive Care': 0}"
81535,63,Other,High School,Flight Attendant,8,"['Kannada', 'Konkani']","{'Cabin Crew': 8, 'Emergency Procedures': 6, 'Customer Service': 8, 'Safety Regulations': 3}"
802223,35,Female,Master's Degree,IT Support Specialist,8,"['Marathi', 'Konkani']","{'Technical Support': 7, 'Troubleshooting': 6, 'Network Administration': 4, 'Hardware Repair': 6}"
837228,58,Male,Master's Degree,Graphic Designer,9,"['Konkani', 'English']","{'Adobe Photoshop': 4, 'Adobe Illustrator': 0, 'Graphic Design': 9, 'Typography': 9}"
673102,22,Female,High School,Chef,2,"['English', 'Marathi']","{'Culinary Arts': 10, 'Food Safety': 7, 'Menu Planning': 8, 'Cuisine Techniques': 5}"
136998,63,Female,PhD,Architect,0,"['Hindi', 'English']","{'AutoCAD': 10, 'Architecture Design': 8, 'Building Regulations': 4, 'Construction Management': 2}"
880740,30,Male,Bachelor's Degree,Translator,0,"['Konkani', 'Kannada', 'Hindi']","{'Translation': 7, 'Language Proficiency': 8, 'Interpreting': 6, 'Cultural Sensitivity': 1}"
503302,25,Male,Master's Degree,Plumber,2,"['English', 'Konkani']","{'Plumbing': 7, 'Pipefitting': 4, 'Drain Cleaning': 1, 'Plumbing Tools': 8}"
265184,22,Male,Bachelor's Degree,Chef,2,"['Marathi', 'Hindi']","{'Culinary Arts': 8, 'Food Safety': 2, 'Menu Planning': 7, 'Cuisine Techniques': 9}"
380723,31,Other,Bachelor's Degree,Executive Assistant,10,"['Kannada', 'Marathi', 'Konkani']","{'Administrative Support': 6, 'Calendar Management': 4, 'Meeting Coordination': 10, 'Travel Arrangements': 0}"
375287,64,Female,PhD,Electrical Engineer,9,"['English', 'Sanskrit', 'Hindi']","{'Electrical Engineering': 5, 'Circuit Design': 5, 'PLC Programming': 10, 'Power Systems': 8}"
330505,26,Female,Bachelor's Degree,Data Scientist,8,"['Marathi', 'English', 'Kannada']","{'Python': 8, 'R': 2, 'Machine Learning': 9, 'Data Analysis': 6, 'Statistics': 0}"
150369,39,Female,PhD,Interior Designer,0,"['Konkani', 'Hindi', 'Sanskrit']","{'Interior Design': 9, 'Space Planning': 10, 'Furniture Design': 10, 'Color Theory': 8}"
395205,25,Other,PhD,Quality Assurance Analyst,10,['Kannada'],"{'Quality Assurance': 3, 'Software Testing': 7, 'Test Automation': 10, 'Bug Tracking': 3}"
629602,63,Other,Bachelor's Degree,Pharmacist,0,['Marathi'],"{'Pharmacology': 1, 'Pharmacy Practice': 8, 'Medication Therapy Management': 8, 'Pharmaceutical Chemistry': 6}"
43841,38,Female,High School,Environmental Scientist,3,"['English', 'Kannada', 'Hindi']","{'Environmental Science': 3, 'Environmental Impact Assessment': 1, 'Data Analysis': 1, 'Field Sampling': 0}"
31942,34,Female,Bachelor's Degree,Software Engineer,2,"['Konkani', 'Marathi']","{'Python': 3, 'Java': 7, 'SQL': 2, 'JavaScript': 10, 'Software Development': 10}"
96711,55,Male,PhD,Web Developer,3,['English'],"{'HTML': 4, 'CSS': 9, 'JavaScript': 2, 'Responsive Web Design': 6}"
449569,42,Female,High School,UX/UI Designer,4,['Kannada'],"{'User Experience Design': 8, 'User Interface Design': 5, 'Wireframing': 5, 'Prototyping': 8}"
373695,50,Other,Master's Degree,Security Guard,1,['English'],"{'Security Operations': 1, 'Surveillance': 2, 'Security Patrolling': 7, 'Emergency Response': 9}"
855632,39,Male,High School,Project Manager,6,"['Konkani', 'Sanskrit']","{'Project Management': 10, 'Risk Management': 2, 'Stakeholder Management': 3, 'Agile Methodologies': 9}"
319881,42,Other,High School,Plumber,2,"['Sanskrit', 'Konkani']","{'Plumbing': 9, 'Pipefitting': 1, 'Drain Cleaning': 0, 'Plumbing Tools': 5}"
702334,22,Female,Master's Degree,Civil Engineer,1,['Konkani'],"{'Civil Engineering': 0, 'Structural Analysis': 6, 'Construction Management': 2, 'Geotechnical Engineering': 2}"
451042,39,Male,PhD,Sales Representative,5,"['Hindi', 'Marathi']","{'Sales Strategy': 8, 'Negotiation': 1, 'Client Relationship Management': 3, 'CRM Software': 2}"
185912,44,Female,Master's Degree,Teacher,6,"['Konkani', 'English']","{'Teaching': 4, 'Lesson Planning': 8, 'Classroom Management': 5, 'Curriculum Development': 4}"
853344,24,Other,Master's Degree,Journalist,6,['Hindi'],"{'Journalism': 0, 'News Reporting': 0, 'Investigative Journalism': 9, 'Interviewing': 6}"
318796,54,Female,High School,Geologist,4,"['Marathi', 'Kannada']","{'Geology': 6, 'Geological Mapping': 2, 'Mineral Exploration': 7, 'Field Work': 3}"
708457,51,Female,High School,Content Writer,8,"['Kannada', 'Marathi', 'English']","{'Content Writing': 6, 'Copywriting': 5, 'SEO': 10, 'Blogging': 2}"
487514,27,Other,Master's Degree,Electrical Engineer,2,"['Marathi', 'English', 'Konkani']","{'Electrical Engineering': 3, 'Circuit Design': 5, 'PLC Programming': 0, 'Power Systems': 6}"
930214,36,Other,High School,Human Resources Manager,5,"['English', 'Konkani', 'Hindi']","{'Recruitment': 3, 'Employee Relations': 8, 'Performance Management': 5, 'HR Policies': 10}"
178523,52,Male,High School,Executive Assistant,4,['Marathi'],"{'Administrative Support': 4, 'Calendar Management': 4, 'Meeting Coordination': 0, 'Travel Arrangements': 8}"
784563,41,Female,PhD,Executive Assistant,0,['Marathi'],"{'Administrative Support': 10, 'Calendar Management': 10, 'Meeting Coordination': 2, 'Travel Arrangements': 7}"
926647,33,Male,PhD,Interior Designer,7,"['English', 'Hindi', 'Konkani']","{'Interior Design': 5, 'Space Planning': 6, 'Furniture Design': 6, 'Color Theory': 6}"
352603,59,Other,Bachelor's Degree,Librarian,0,['Marathi'],"{'Library Science': 0, 'Cataloging': 6, 'Reference Services': 3, 'Library Management': 7}"
669060,55,Female,High School,Dentist,2,['Hindi'],"{'Dentistry': 8, 'Oral Surgery': 0, 'Dental Implants': 9, 'Endodontics': 3}"
965108,23,Female,PhD,Electrical Engineer,1,"['Marathi', 'Hindi']","{'Electrical Engineering': 7, 'Circuit Design': 10, 'PLC Programming': 0, 'Power Systems': 5}"
771533,65,Female,High School,Architect,5,"['Sanskrit', 'English', 'Kannada']","{'AutoCAD': 1, 'Architecture Design': 8, 'Building Regulations': 0, 'Construction Management': 0}"
934696,64,Female,PhD,Software Tester,2,"['Konkani', 'Sanskrit', 'Hindi']","{'Software Testing': 8, 'Test Cases': 4, 'Bug Reporting': 9, 'Test Automation': 7}"
850801,31,Male,High School,Flight Attendant,2,"['Sanskrit', 'Hindi', 'Kannada']","{'Cabin Crew': 7, 'Emergency Procedures': 8, 'Customer Service': 5, 'Safety Regulations': 6}"
22940,41,Male,Master's Degree,UX/UI Designer,0,['Marathi'],"{'User Experience Design': 1, 'User Interface Design': 8, 'Wireframing': 3, 'Prototyping': 3}"
650923,58,Other,Master's Degree,Plumber,2,"['Hindi', 'Kannada']","{'Plumbing': 6, 'Pipefitting': 9, 'Drain Cleaning': 7, 'Plumbing Tools': 1}"
809551,50,Other,Master's Degree,Interior Designer,9,"['Konkani', 'Kannada']","{'Interior Design': 5, 'Space Planning': 10, 'Furniture Design': 10, 'Color Theory': 4}"
987766,32,Male,Master's Degree,Customer Service Representative,5,"['Konkani', 'Sanskrit', 'English']","{'Customer Support': 5, 'Communication Skills': 3, 'Problem Solving': 6, 'CRM Software': 4}"
694078,25,Male,High School,Biologist,10,"['Sanskrit', 'Konkani']","{'Biology': 6, 'Genetics': 8, 'Ecology': 3, 'Research Methods': 2}"
600596,46,Female,PhD,Biologist,8,"['Marathi', 'English', 'Hindi']","{'Biology': 2, 'Genetics': 7, 'Ecology': 1, 'Research Methods': 5}"
531788,59,Male,High School,Biologist,0,"['English', 'Marathi']","{'Biology': 6, 'Genetics': 2, 'Ecology': 3, 'Research Methods': 5}"
990191,43,Other,Master's Degree,Electrician,5,"['Sanskrit', 'Marathi', 'Konkani']","{'Electrical Wiring': 2, 'Electrical Maintenance': 7, 'Circuit Troubleshooting': 1, 'Safety Procedures': 8}"
318730,61,Other,Master's Degree,Dentist,3,"['Konkani', 'Marathi']","{'Dentistry': 2, 'Oral Surgery': 6, 'Dental Implants': 0, 'Endodontics': 10}"
276867,52,Other,Bachelor's Degree,Architect,10,"['Sanskrit', 'English', 'Kannada']","{'AutoCAD': 2, 'Architecture Design': 2, 'Building Regulations': 1, 'Construction Management': 10}"
598726,25,Male,Bachelor's Degree,Registered Nurse,1,"['Konkani', 'English']","{'Nursing': 8, 'Patient Care': 6, 'Medical Terminology': 4, 'Emergency Medicine': 4}"
272547,47,Other,PhD,Social Worker,0,"['Marathi', 'Hindi', 'Kannada']","{'Social Services': 1, 'Case Management': 5, 'Counseling': 8, 'Community Outreach': 0}"
815566,59,Male,PhD,Customer Service Representative,5,"['Kannada', 'Konkani', 'Hindi']","{'Customer Support': 1, 'Communication Skills': 1, 'Problem Solving': 5, 'CRM Software': 8}"
679470,38,Other,Bachelor's Degree,Hair Stylist,7,"['English', 'Konkani', 'Hindi']","{'Hairstyling': 3, 'Hair Coloring': 2, 'Haircutting': 8, 'Salon Management': 8}"
549888,61,Male,Master's Degree,Interior Designer,1,['Kannada'],"{'Interior Design': 3, 'Space Planning': 2, 'Furniture Design': 10, 'Color Theory': 4}"
883882,30,Female,Master's Degree,Web Developer,4,['English'],"{'HTML': 8, 'CSS': 8, 'JavaScript': 2, 'Responsive Web Design': 9}"
656889,44,Female,PhD,Flight Attendant,3,['Marathi'],"{'Cabin Crew': 5, 'Emergency Procedures': 8, 'Customer Service': 1, 'Safety Regulations': 3}"
146950,60,Male,High School,Sales Representative,7,['English'],"{'Sales Strategy': 4, 'Negotiation': 1, 'Client Relationship Management': 1, 'CRM Software': 5}"
37460,60,Other,High School,Geologist,0,"['English', 'Konkani', 'Kannada']","{'Geology': 5, 'Geological Mapping': 0, 'Mineral Exploration': 3, 'Field Work': 10}"
568193,62,Other,Bachelor's Degree,Photographer,9,"['Hindi', 'English', 'Marathi']","{'Photography': 10, 'Digital Editing': 6, 'Composition': 0, 'Lighting Techniques': 5}"
46495,63,Male,PhD,Quality Assurance Analyst,5,"['Sanskrit', 'Marathi']","{'Quality Assurance': 2, 'Software Testing': 6, 'Test Automation': 6, 'Bug Tracking': 10}"
206763,55,Male,Bachelor's Degree,Geologist,0,['Kannada'],"{'Geology': 10, 'Geological Mapping': 9, 'Mineral Exploration': 6, 'Field Work': 6}"
750314,37,Female,PhD,Flight Attendant,4,['English'],"{'Cabin Crew': 7, 'Emergency Procedures': 1, 'Customer Service': 4, 'Safety Regulations': 10}"
686562,52,Male,PhD,Software Tester,4,"['English', 'Sanskrit']","{'Software Testing': 3, 'Test Cases': 10, 'Bug Reporting': 7, 'Test Automation': 8}"
193972,43,Female,Bachelor's Degree,Pharmacist,4,"['English', 'Marathi']","{'Pharmacology': 6, 'Pharmacy Practice': 5, 'Medication Therapy Management': 9, 'Pharmaceutical Chemistry': 2}"
66961,48,Female,Master's Degree,Truck Driver,2,"['Marathi', 'English']","{'Commercial Driving': 0, 'Route Planning': 1, 'Vehicle Maintenance': 1, 'Logistics': 6}"
656117,65,Other,High School,Data Entry Clerk,1,['Hindi'],"{'Data Entry': 7, 'Typing': 10, 'Data Management': 4, 'Microsoft Excel': 4}"
69641,45,Male,Master's Degree,Graphic Designer,7,['Kannada'],"{'Adobe Photoshop': 1, 'Adobe Illustrator': 10, 'Graphic Design': 5, 'Typography': 8}"
697966,52,Female,Bachelor's Degree,Software Tester,8,"['Marathi', 'Sanskrit', 'Hindi']","{'Software Testing': 4, 'Test Cases': 10, 'Bug Reporting': 0, 'Test Automation': 8}"
182132,56,Male,PhD,Social Worker,10,"['Kannada', 'English', 'Marathi']","{'Social Services': 1, 'Case Management': 8, 'Counseling': 1, 'Community Outreach': 5}"
217057,57,Other,Bachelor's Degree,Truck Driver,2,['Konkani'],"{'Commercial Driving': 2, 'Route Planning': 6, 'Vehicle Maintenance': 8, 'Logistics': 3}"
646221,42,Other,Master's Degree,Flight Attendant,5,"['Hindi', 'English', 'Marathi']","{'Cabin Crew': 0, 'Emergency Procedures': 6, 'Customer Service': 0, 'Safety Regulations': 4}"
950335,47,Male,Master's Degree,Civil Engineer,8,"['Konkani', 'Marathi', 'Kannada']","{'Civil Engineering': 8, 'Structural Analysis': 7, 'Construction Management': 7, 'Geotechnical Engineering': 2}"
78397,56,Female,High School,Registered Nurse,1,"['Kannada', 'Marathi']","{'Nursing': 4, 'Patient Care': 1, 'Medical Terminology': 5, 'Emergency Medicine': 6}"
310695,57,Other,Bachelor's Degree,Executive Assistant,8,['Kannada'],"{'Administrative Support': 5, 'Calendar Management': 8, 'Meeting Coordination': 5, 'Travel Arrangements': 5}"
176572,48,Female,Bachelor's Degree,Social Worker,3,"['English', 'Marathi', 'Hindi']","{'Social Services': 0, 'Case Management': 0, 'Counseling': 4, 'Community Outreach': 4}"
563317,49,Male,Master's Degree,Human Resources Manager,8,"['Hindi', 'Sanskrit']","{'Recruitment': 0, 'Employee Relations': 5, 'Performance Management': 8, 'HR Policies': 1}"
808714,37,Other,High School,Sales Representative,2,"['Sanskrit', 'Marathi', 'Kannada']","{'Sales Strategy': 3, 'Negotiation': 4, 'Client Relationship Management': 2, 'CRM Software': 6}"
209011,65,Female,High School,Data Scientist,1,"['Sanskrit', 'Marathi', 'Konkani']","{'Python': 2, 'R': 9, 'Machine Learning': 10, 'Data Analysis': 2, 'Statistics': 8}"
926194,40,Other,Bachelor's Degree,Social Worker,5,"['English', 'Kannada']","{'Social Services': 5, 'Case Management': 4, 'Counseling': 8, 'Community Outreach': 3}"
404357,51,Female,High School,Mechanical Engineer,2,"['Sanskrit', 'Hindi', 'Kannada']","{'AutoCAD': 10, 'Mechanical Design': 0, 'SolidWorks': 8, 'Manufacturing Processes': 2}"
174188,31,Female,High School,Data Entry Clerk,4,"['Konkani', 'English', 'Marathi']","{'Data Entry': 2, 'Typing': 0, 'Data Management': 2, 'Microsoft Excel': 2}"
60078,65,Male,PhD,Librarian,6,"['Kannada', 'Hindi', 'Konkani']","{'Library Science': 9, 'Cataloging': 1, 'Reference Services': 2, 'Library Management': 0}"
180571,36,Female,Master's Degree,Teacher,0,"['Konkani', 'Hindi']","{'Teaching': 6, 'Lesson Planning': 3, 'Classroom Management': 5, 'Curriculum Development': 6}"
783113,32,Other,Master's Degree,Translator,9,"['Konkani', 'Sanskrit', 'Marathi']","{'Translation': 5, 'Language Proficiency': 1, 'Interpreting': 5, 'Cultural Sensitivity': 2}"
870799,43,Female,Master's Degree,Financial Analyst,8,"['Hindi', 'Marathi']","{'Financial Analysis': 5, 'Accounting': 9, 'Excel': 8, 'Financial Modeling': 6}"
310255,49,Male,Bachelor's Degree,Human Resources Manager,7,"['Kannada', 'Hindi', 'Konkani']","{'Recruitment': 8, 'Employee Relations': 5, 'Performance Management': 9, 'HR Policies': 0}"
457633,54,Other,High School,Mechanical Engineer,6,"['Sanskrit', 'Konkani', 'Kannada']","{'AutoCAD': 5, 'Mechanical Design': 2, 'SolidWorks': 6, 'Manufacturing Processes': 4}"
954615,63,Other,Master's Degree,Mechanical Engineer,10,"['Marathi', 'Hindi']","{'AutoCAD': 1, 'Mechanical Design': 0, 'SolidWorks': 9, 'Manufacturing Processes': 2}"
375790,62,Female,PhD,Journalist,6,"['English', 'Sanskrit']","{'Journalism': 6, 'News Reporting': 3, 'Investigative Journalism': 8, 'Interviewing': 3}"
496842,41,Male,PhD,UX/UI Designer,0,['Kannada'],"{'User Experience Design': 5, 'User Interface Design': 4, 'Wireframing': 9, 'Prototyping': 6}"
919743,53,Other,High School,Phlebotomist,6,['Sanskrit'],"{'Phlebotomy': 0, 'Venipuncture': 6, 'Specimen Collection': 4, 'Medical Terminology': 8}"
869227,57,Male,PhD,Biomedical Engineer,6,"['Konkani', 'English', 'Kannada']","{'Biomedical Engineering': 4, 'Medical Devices': 1, 'Biomechanics': 6, 'Bioinformatics': 7}"
447612,61,Other,PhD,Fitness Trainer,4,['Konkani'],"{'Personal Training': 9, 'Fitness Programming': 3, 'Nutrition Counseling': 10, 'Strength Training': 5}"
761689,50,Male,High School,Flight Attendant,3,"['Konkani', 'Sanskrit', 'Kannada']","{'Cabin Crew': 9, 'Emergency Procedures': 1, 'Customer Service': 1, 'Safety Regulations': 7}"
17552,34,Female,Master's Degree,Electrician,8,"['Konkani', 'Kannada', 'Hindi']","{'Electrical Wiring': 9, 'Electrical Maintenance': 8, 'Circuit Troubleshooting': 9, 'Safety Procedures': 2}"
162633,58,Female,Master's Degree,Quality Assurance Analyst,0,['Hindi'],"{'Quality Assurance': 5, 'Software Testing': 7, 'Test Automation': 3, 'Bug Tracking': 6}"
978926,23,Other,Bachelor's Degree,Biomedical Engineer,6,['Marathi'],"{'Biomedical Engineering': 7, 'Medical Devices': 4, 'Biomechanics': 0, 'Bioinformatics': 8}"
717994,38,Other,High School,Plumber,3,['Konkani'],"{'Plumbing': 2, 'Pipefitting': 6, 'Drain Cleaning': 4, 'Plumbing Tools': 9}"
108816,43,Other,Master's Degree,Marketing Manager,3,"['Sanskrit', 'English']","{'Marketing Strategy': 1, 'Digital Marketing': 2, 'Social Media Marketing': 2, 'Market Research': 3}"
496720,53,Other,Bachelor's Degree,Customer Service Representative,6,['English'],"{'Customer Support': 4, 'Communication Skills': 7, 'Problem Solving': 0, 'CRM Software': 10}"
